[2025-02-17 21:20:42.175] [Global_logger] [info] Logger initialized.
[2025-02-17 21:20:46.898] [Global_logger] [info] stereo_ORB_EXTRACT 7493 us,  
[2025-02-17 21:20:46.952] [Global_logger] [info] stereo_ORB_EXTRACT 7839 us,  
[2025-02-17 21:20:47.007] [Global_logger] [info] stereo_ORB_EXTRACT 8006 us,  
[2025-02-17 21:20:47.060] [Global_logger] [info] stereo_ORB_EXTRACT 7170 us,  
[2025-02-17 21:20:47.116] [Global_logger] [info] stereo_ORB_EXTRACT 8842 us,  
[2025-02-17 21:20:47.172] [Global_logger] [info] stereo_ORB_EXTRACT 9199 us,  
[2025-02-17 21:20:47.226] [Global_logger] [info] stereo_ORB_EXTRACT 7497 us,  
[2025-02-17 21:20:47.282] [Global_logger] [info] stereo_ORB_EXTRACT 8024 us,  
[2025-02-17 21:20:47.341] [Global_logger] [info] stereo_ORB_EXTRACT 10786 us,  
[2025-02-17 21:20:47.396] [Global_logger] [info] stereo_ORB_EXTRACT 8929 us,  
[2025-02-17 21:20:47.448] [Global_logger] [info] stereo_ORB_EXTRACT 7290 us,  
[2025-02-17 21:20:47.505] [Global_logger] [info] stereo_ORB_EXTRACT 10716 us,  
[2025-02-17 21:20:47.558] [Global_logger] [info] stereo_ORB_EXTRACT 9419 us,  
[2025-02-17 21:20:47.614] [Global_logger] [info] stereo_ORB_EXTRACT 8705 us,  
[2025-02-17 21:20:47.671] [Global_logger] [info] stereo_ORB_EXTRACT 9298 us,  
[2025-02-17 21:20:47.722] [Global_logger] [info] stereo_ORB_EXTRACT 6809 us,  
[2025-02-17 21:20:47.779] [Global_logger] [info] stereo_ORB_EXTRACT 9804 us,  
[2025-02-17 21:20:47.834] [Global_logger] [info] stereo_ORB_EXTRACT 8606 us,  
[2025-02-17 21:20:47.889] [Global_logger] [info] stereo_ORB_EXTRACT 8095 us,  
[2025-02-17 21:20:47.944] [Global_logger] [info] stereo_ORB_EXTRACT 7241 us,  
[2025-02-17 21:20:48.000] [Global_logger] [info] stereo_ORB_EXTRACT 8288 us,  
[2025-02-17 21:20:48.054] [Global_logger] [info] stereo_ORB_EXTRACT 8502 us,  
[2025-02-17 21:20:48.112] [Global_logger] [info] stereo_ORB_EXTRACT 11083 us,  
[2025-02-17 21:20:48.165] [Global_logger] [info] stereo_ORB_EXTRACT 9276 us,  
[2025-02-17 21:20:48.220] [Global_logger] [info] stereo_ORB_EXTRACT 10947 us,  
[2025-02-17 21:20:48.276] [Global_logger] [info] stereo_ORB_EXTRACT 10779 us,  
[2025-02-17 21:20:48.330] [Global_logger] [info] stereo_ORB_EXTRACT 8330 us,  
[2025-02-17 21:20:48.387] [Global_logger] [info] stereo_ORB_EXTRACT 9714 us,  
[2025-02-17 21:20:48.441] [Global_logger] [info] stereo_ORB_EXTRACT 7671 us,  
[2025-02-17 21:20:48.498] [Global_logger] [info] stereo_ORB_EXTRACT 10223 us,  
[2025-02-17 21:20:48.551] [Global_logger] [info] stereo_ORB_EXTRACT 7056 us,  
[2025-02-17 21:20:48.605] [Global_logger] [info] stereo_ORB_EXTRACT 7073 us,  
[2025-02-17 21:20:48.665] [Global_logger] [info] stereo_ORB_EXTRACT 11349 us,  
[2025-02-17 21:20:48.715] [Global_logger] [info] stereo_ORB_EXTRACT 7269 us,  
[2025-02-17 21:20:48.774] [Global_logger] [info] stereo_ORB_EXTRACT 10260 us,  
[2025-02-17 21:20:48.825] [Global_logger] [info] stereo_ORB_EXTRACT 7097 us,  
[2025-02-17 21:20:48.880] [Global_logger] [info] stereo_ORB_EXTRACT 7342 us,  
[2025-02-17 21:20:48.934] [Global_logger] [info] stereo_ORB_EXTRACT 7615 us,  
[2025-02-17 21:20:48.992] [Global_logger] [info] stereo_ORB_EXTRACT 9507 us,  
[2025-02-17 21:20:49.047] [Global_logger] [info] stereo_ORB_EXTRACT 10458 us,  
[2025-02-17 21:20:49.103] [Global_logger] [info] stereo_ORB_EXTRACT 10380 us,  
[2025-02-17 21:20:49.158] [Global_logger] [info] stereo_ORB_EXTRACT 10584 us,  
[2025-02-17 21:20:49.210] [Global_logger] [info] stereo_ORB_EXTRACT 8203 us,  
[2025-02-17 21:20:49.269] [Global_logger] [info] stereo_ORB_EXTRACT 11391 us,  
